ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1371300931,2024-06-21T17:23:43.990000,2024-06-21T18:03:17.742000,buy,0.01,0.01,BTCUSDm,63505.64,63637.87,63637.87,,0,0,1.32,,,sl
1371183912,2024-06-21T16:29:58.660000,2024-06-21T16:36:56.576000,buy,0.02,0.02,XAUUSDm,2326.471,2324.921,2324.921,,0,0,-3.1,,,sl
1366711872,2024-06-20T05:15:40.886000,2024-06-20T05:36:36.081000,sell,0.02,0.02,XAUUSDm,2341.144,2343.839,,,0,0,-5.39,-0.1,,so
1366708719,2024-06-20T05:13:02.120000,2024-06-20T05:14:55.878000,sell,0.02,0.02,XAUUSDm,2341.278,2341.866,2341.866,,0,0,-1.17,,,sl
1366633827,2024-06-20T04:37:00.192000,2024-06-20T04:38:23.923000,sell,0.02,0.02,XAUUSDm,2339.574,2340.021,2340.021,,0,0,-0.89,,,sl
1366582963,2024-06-20T04:14:00.753000,2024-06-20T04:18:42.559000,sell,0.02,0.02,XAUUSDm,2335.356,2335.313,2335.313,,0,0,0.08,,,sl
1366410467,2024-06-20T02:04:40.960000,2024-06-20T02:16:25.440000,sell,0.09,0.09,GBPUSDm,1.27144,1.2712700000000001,,,0,0,1.53,,,user
1366383473,2024-06-20T01:50:04.363000,2024-06-20T01:52:47.787000,sell,0.02,0.02,XAUUSDm,2337.576,2337.442,2337.442,,0,0,0.27,,,sl
1366325857,2024-06-20T01:30:38.612000,2024-06-20T01:47:38.243000,sell,0.02,0.02,BTCUSDm,65211.62,65202.59,65202.59,,0,0,0.18,,,sl
1366281187,2024-06-20T01:08:30.621000,2024-06-20T01:11:57.920000,sell,0.01,0.01,XAUUSDm,2333.284,2333.338,2333.224,,0,0,-0.06,,,sl
1366259620,2024-06-20T01:01:19.694000,2024-06-20T01:03:10.815000,sell,0.02,0.02,XAUUSDm,2330.861,2331.901,2331.901,,0,0,-2.08,,,sl
1366234203,2024-06-20T00:38:21.191000,2024-06-20T00:58:07.293000,sell,0.02,0.02,XAUUSDm,2328.426,2329.708,2329.708,,0,0,-2.57,,,sl
1363708485,2024-06-18T13:47:10.301000,2024-06-18T13:55:17.780000,sell,0.09,0.09,GBPUSDm,1.27067,1.27136,,,0,0,-6.21,-0.01,,so
1363662372,2024-06-18T13:36:32.558000,2024-06-18T13:46:22.424000,sell,0.1,0.1,GBPUSDm,1.26975,1.27066,1.27066,,0,0,-9.1,,,sl
1363635023,2024-06-18T13:31:20.925000,2024-06-18T13:35:09.404000,sell,0.1,0.1,GBPUSDm,1.26975,1.26973,1.26973,,0,0,0.2,,,sl
1363617491,2024-06-18T13:23:58.091000,2024-06-18T13:30:24.342000,sell,0.1,0.1,GBPUSDm,1.26976,1.26975,1.26975,,0,0,0.1,,,sl
1363207972,2024-06-18T11:00:22.713000,2024-06-18T12:22:41.886000,buy,0.02,0.02,XAUUSDm,2309.055,2312.349,,,0,0,6.59,-0.05,,so
1363198288,2024-06-18T10:52:25.746000,2024-06-18T11:02:01.482000,buy,0.05,0.05,EURUSDm,1.07201,1.0716,1.0716,,0,0,-2.05,,,sl
1363192334,2024-06-18T10:48:51.035000,2024-06-18T10:57:14.218000,buy,0.02,0.02,XAUUSDm,2308.228,2308.263,2308.263,,0,0,0.07,,,sl
